SourceNodeID,DestinationNodeID,RegeneratorLocations,NumberOfRegenerators,OPCLocations,ResidualDistance_km
8,19,"32,34,33,35",4,None,0.0
8,20,"32,34,37,46",4,"41,45",719.99
8,21,"32,34,37",3,46,0.01
8,22,"32,34,37",3,41,0.0
8,23,"32,34,37",3,41,0.0
8,24,"32,34,38",3,42,0.0
9,1,33,1,30,1039.99
9,2,33,1,30,959.99
9,3,33,1,31,1039.99
9,4,33,1,31,879.99
9,5,"33,31",2,28,0.01
9,6,None,0,33,1200.0
9,7,None,0,33,1040.0
9,8,33,1,34,959.99
9,10,None,0,33,1040.0
9,11,None,0,33,1440.0
9,12,None,0,33,1040.0
9,13,33,1,36,959.99
9,14,33,1,34,879.99
9,15,"33,36",2,40,0.01
9,16,33,1,36,1039.99
9,17,"33,36",2,37,0.01
9,18,"33,34",2,38,0.01
9,19,"33,35",2,None,0.0
9,20,"33,36,40",3,45,0.0
9,21,"33,36",2,40,0.01
9,22,"33,36",2,40,0.01
9,23,"33,36",2,46,640.01
9,24,"33,34,38",3,42,0.0
10,1,"34,33",2,30,0.01
10,2,"34,33",2,30,0.01
10,3,"34,33",2,31,0.01
10,4,"34,33",2,31,0.01
10,5,34,1,32,1199.99
10,6,34,1,33,1199.99
10,7,34,1,33,1039.99
10,8,None,0,34,960.0
10,9,None,0,34,1040.0
10,11,34,1,33,1439.99
10,12,34,1,37,959.99
10,13,None,0,34,960.0
10,14,None,0,34,880.0
10,15,"34,37,36",3,40,0.0
10,16,"34,37",2,36,0.01
10,17,34,1,37,1119.99
10,18,34,1,38,1199.99
10,19,"34,33,35",3,None,0.0
10,20,"34,37,46",3,"41,45",400.01
10,21,"34,37",2,46,320.01
10,22,"34,37",2,41,0.01
10,23,"34,37",2,41,0.01
10,24,"34,38",2,42,0.01
11,1,"11,35",2,30,0.01
11,2,"11,35",2,30,0.01
11,3,"35,33",2,31,0.01
11,4,"35,33",2,31,0.01
11,5,"35,33,31",3,28,0.0
11,6,"11,35",2,None,0.0
11,7,35,1,33,1039.99
11,8,"35,33",2,34,0.01
11,9,None,0,35,1440.0
11,10,35,1,33,1039.99
11,12,None,0,35,960.0
11,13,35,1,36,959.99
11,14,"35,36",2,37,0.01
11,15,None,0,35,1360.0
11,16,35,1,36,1039.99
11,17,"35,36",2,37,0.01
11,18,"35,36,37",3,38,0.0
11,19,"11,35",2,None,0.0
11,20,35,1,39,1359.99
11,21,"35,36",2,40,0.01
11,22,"35,36",2,40,0.01
11,23,"35,36",2,46,640.01
11,24,"35,36,46",3,"40,47",320.01
12,1,"36,33",2,30,0.01
12,2,"36,33",2,30,0.01
12,3,"36,33",2,31,0.01
12,4,"36,33",2,31,0.01
12,5,"36,33,31",3,28,0.0
12,6,36,1,33,1199.99
12,7,36,1,33,1039.99
12,8,"36,37",2,34,0.01
12,9,None,0,36,1040.0
12,10,36,1,37,959.99
12,11,None,0,36,960.0
12,13,None,0,36,960.0
12,14,36,1,37,719.99
12,15,36,1,40,639.99
12,16,None,0,36,1040.0
12,17,36,1,37,1119.99
12,18,"36,37",2,38,0.01
12,19,"36,35",2,None,0.0
12,20,"36,40",2,45,0.01
12,21,36,1,40,1039.99
12,22,36,1,40,799.99
12,23,36,1,46,1439.99
12,24,"36,46",2,"40,47",800.01
13,1,"37,36,33",3,30,0.0
13,2,"37,36,33",3,30,0.0
13,3,"37,36,33",3,31,0.0
13,4,"37,36,33",3,31,0.0
13,5,"37,34",2,32,0.01
13,6,"37,36",2,33,0.01
13,7,"37,36",2,33,0.01
13,8,37,1,34,959.99
13,9,37,1,36,1039.99
