source,destination,total_distance,regenerators,opcs,residual_distance,status
7,8,1200.0,,,1200.0,OK
7,9,1040.0,,,1040.0,OK
7,10,2080.0,33,,1040.0,OK
7,11,2480.0,33,,1440.0,OK
7,12,2080.0,33,,1040.0,OK
7,13,3040.0,33,36,2080.0,OK
7,14,2960.0,33,34,2080.0,OK
7,15,3760.0,33;36,40,2080.0,OK
7,16,3120.0,33;36,,1040.0,OK
7,17,4160.0,33;37,36,1200.0,OK
7,18,4160.0,33;38,34,1360.0,OK
7,19,5120.0,,,0.0,UNREACHABLE
7,20,4880.0,33;36;40,45,2080.0,OK
7,21,4160.0,33;36;40,,1040.0,OK
7,22,3920.0,33;36,40,2080.0,OK
7,23,4560.0,33;36;46,40,880.0,OK
7,24,5120.0,33;38;42,34,1120.0,OK
8,1,3280.0,31;30,,1040.0,OK
8,2,3200.0,31,30,2080.0,OK
8,3,2160.0,29,,960.0,OK
8,4,2000.0,,29,400.0,OK
8,5,1200.0,,,1200.0,OK
8,6,2240.0,31,,1040.0,OK
8,7,1200.0,,,1200.0,OK
8,9,2000.0,,34,80.0,OK
8,10,960.0,,,960.0,OK
8,11,3440.0,33,34,1520.0,OK
8,12,2880.0,37,34,960.0,OK
8,13,1920.0,,34,0.0,OK
8,14,1840.0,,34,80.0,OK
8,15,4560.0,37;40,34;36,720.0,OK
8,16,3920.0,37,34;36,2080.0,OK
8,17,3040.0,37,34,1120.0,OK
8,18,3040.0,38,34,1280.0,OK
8,19,6080.0,,,0.0,UNREACHABLE
8,20,4960.0,37;46,34;41;45,1680.0,OK
8,21,4240.0,37;46,34;41,560.0,OK
8,22,3920.0,37,34;41,2240.0,OK
8,23,4080.0,37;41,34,1040.0,OK
8,24,4000.0,38;42,34,1040.0,OK
9,1,2240.0,30,,1040.0,OK
9,2,2160.0,30,,960.0,OK
9,3,2080.0,31,,1040.0,OK
9,4,1920.0,,31,160.0,OK
9,5,2720.0,28,31,960.0,OK
9,6,1200.0,,,1200.0,OK
9,7,1040.0,,,1040.0,OK
9,8,2000.0,,34,80.0,OK
9,10,1040.0,,,1040.0,OK
9,11,1440.0,,,1440.0,OK
9,12,1040.0,,,1040.0,OK
9,13,2000.0,,36,80.0,OK
9,14,1920.0,,34,160.0,OK
9,15,2720.0,36,40,2080.0,OK
9,16,2080.0,36,,1040.0,OK
9,17,3120.0,37,36,1200.0,OK
9,18,3120.0,38,34,1360.0,OK
9,19,4080.0,,,0.0,UNREACHABLE
9,20,3840.0,36;40,45,2080.0,OK
9,21,3120.0,36;40,,1040.0,OK
9,22,2880.0,36,40,2080.0,OK
9,23,3520.0,36;46,40,880.0,OK
9,24,4080.0,38;42,34,1120.0,OK
10,1,3280.0,33;30,,1040.0,OK
10,2,3200.0,33;30,,960.0,OK
10,3,3120.0,33;31,,1040.0,OK
10,4,2960.0,33,31,2080.0,OK
10,5,2160.0,32,,1200.0,OK
10,6,2240.0,33,,1200.0,OK
10,7,2080.0,33,,1040.0,OK
10,8,960.0,,,960.0,OK
10,9,1040.0,,,1040.0,OK
10,11,2480.0,33,,1440.0,OK
10,12,1920.0,,37,0.0,OK
10,13,960.0,,,960.0,OK
10,14,880.0,,,880.0,OK
10,15,3600.0,36,37;40,2080.0,OK
10,16,2960.0,36,37,1040.0,OK
10,17,2080.0,37,,1120.0,OK
10,18,2080.0,38,,1200.0,OK
10,19,5120.0,,,0.0,UNREACHABLE
10,20,4000.0,37;46,41;45,1680.0,OK
10,21,3280.0,37;46,41,560.0,OK
10,22,2960.0,37,41,2240.0,OK
10,23,3120.0,37;41,,1040.0,OK
10,24,3040.0,38;42,,960.0,OK
11,1,2960.0,30,,1040.0,OK
11,2,2880.0,30,,960.0,OK
11,3,3520.0,33;31,,1040.0,OK
11,4,3360.0,33,31,2080.0,OK
11,5,4160.0,33;28,31,960.0,OK
11,6,1920.0,,,1920.0,OK
11,7,2480.0,33,,1040.0,OK
11,8,3440.0,33,34,2080.0,OK
11,9,1440.0,,,1440.0,OK
11,10,2480.0,33,,1040.0,OK
11,12,960.0,,,960.0,OK
11,13,1920.0,,36,0.0,OK
11,14,2640.0,37,36,720.0,OK
11,15,1360.0,,,1360.0,OK
11,16,2000.0,,36,80.0,OK
11,17,3040.0,37,36,1120.0,OK
11,18,3840.0,37,36;38,2400.0,OK
11,19,2640.0,,,0.0,UNREACHABLE
11,20,2720.0,39,,1360.0,OK
11,21,3040.0,40,36,1120.0,OK
11,22,2800.0,40,36,880.0,OK
11,23,3440.0,40,36;46,1680.0,OK
11,24,4400.0,40;47,36;46,1200.0,OK
12,1,3280.0,33;30,,1040.0,OK
12,2,3200.0,33;30,,960.0,OK
12,3,3120.0,33;31,,1040.0,OK
12,4,2960.0,33,31,2080.0,OK
12,5,3760.0,33;28,31,960.0,OK
12,6,2240.0,33,,1200.0,OK
12,7,2080.0,33,,1040.0,OK
12,8,2880.0,34,37,960.0,OK
12,9,1040.0,,,1040.0,OK
12,10,1920.0,,37,0.0,OK
12,11,960.0,,,960.0,OK
12,13,960.0,,,960.0,OK
12,14,1680.0,,37,240.0,OK
12,15,1680.0,,40,400.0,OK
12,16,1040.0,,,1040.0,OK
12,17,2080.0,37,,1120.0,OK
12,18,2880.0,38,37,1440.0,OK
12,19,3600.0,,,0.0,UNREACHABLE
12,20,2800.0,40,45,2080.0,OK
12,21,2080.0,40,,1040.0,OK
12,22,1840.0,,40,240.0,OK
12,23,2480.0,46,40,880.0,OK
12,24,3440.0,46,40;47,2160.0,OK
13,1,4240.0,33;30,36,1120.0,OK
13,2,4160.0,33;30,36,1040.0,OK
13,3,4080.0,33;31,36,1120.0,OK
13,4,3920.0,33,36;31,2160.0,OK
13,5,3120.0,32,34,1200.0,OK
13,6,3200.0,33,36,1280.0,OK
13,7,3040.0,33,36,1120.0,OK
13,8,1920.0,,34,0.0,OK
13,9,2000.0,,36,80.0,OK
13,10,960.0,,,960.0,OK
13,11,1920.0,,36,0.0,OK
13,12,960.0,,,960.0,OK
13,14,720.0,,,720.0,OK
13,15,2640.0,40,36,720.0,OK
13,16,2000.0,,36,80.0,OK
13,17,1120.0,,,1120.0,OK
13,18,1920.0,,38,480.0,OK
13,19,4240.0,46;44,41;45,1840.0,OK
13,20,3040.0,46,41;45,1680.0,OK
13,21,2320.0,46,41,560.0,OK
13,22,2000.0,,41,240.0,OK
13,23,2160.0,41,,1040.0,OK
13,24,2880.0,42,38,1440.0,OK
14,1,4160.0,33;30,34,1200.0,OK
14,2,4080.0,33;30,34,1120.0,OK
14,3,4000.0,33;31,34,1200.0,OK
14,4,3840.0,33,34;31,2240.0,OK
14,5,3040.0,32,34,1280.0,OK
14,6,3120.0,33,34,1360.0,OK
14,7,2960.0,33,34,1200.0,OK
14,8,1840.0,,34,80.0,OK
14,9,1920.0,,34,160.0,OK
14,10,880.0,,,880.0,OK
14,11,2640.0,36,37,1200.0,OK
14,12,1680.0,,37,240.0,OK
14,13,720.0,,,720.0,OK
14,15,3360.0,36,37;40,2320.0,OK
14,16,2720.0,36,37,1280.0,OK
14,17,1840.0,,37,400.0,OK
14,18,1200.0,,,1200.0,OK
